span_id,journal_id,text,span,gold_label,start_char,end_char,span_type,habit_id
gold_0268,journal_268,Didn't 5am wake today. Feel bad about it.,5am wake,SLEEP,7,15,negation,wake_early
gold_0201,journal_201,planned day today.,planned day,PRODUCTIVITY,0,11,neutral,plan
gold_0357,journal_357,mindless scrolling,scrolling,DIGITAL,9,18,edge_case,social_media
gold_0028,journal_28,2 hours of essay writing today.,essay writing,CREATIVE,11,24,duration,write
gold_0313,journal_313,smoked when I should have been working.,smoked,SUBSTANCE,0,6,negative,smoking
gold_0231,journal_231,Woke up and coding session around midnight.,coding session,PROFESSIONAL,12,26,time,code
gold_0261,journal_261,Another day of midday nap. Getting worried.,midday nap,SLEEP,15,25,negative,nap
gold_0289,journal_289,Did my regular temple visit.,temple visit,SPIRITUAL,15,27,neutral,church_temple
gold_0163,journal_163,comparison like usual.,comparison,MENTAL_STATE,0,10,neutral,comparison
gold_0371,journal_371,called my parents,called my parents,SOCIAL,0,17,edge_case,family_time
gold_0139,journal_139,Woke up and browsed headlines around midnight.,browsed headlines,INFORMATION,12,29,time,news
gold_0063,journal_63,device time all night. Regret it now.,device time,DIGITAL,0,11,negative,screen_time
gold_0136,journal_136,2 hours of reading news today.,reading news,INFORMATION,11,23,duration,news
gold_0129,journal_129,read news today.,read news,INFORMATION,0,9,neutral,news
gold_0009,journal_9,Can't believe I took exam for the third time this week.,took exam,ACADEMICS,16,25,negative,exam
gold_0065,journal_65,phone all day for 3 hours.,phone all day,DIGITAL,0,13,duration,screen_time
gold_0301,journal_301,Woke up and temple around 8am.,temple,SPIRITUAL,12,18,time,church_temple
gold_0015,journal_15,Late night test time at 6am.,test time,ACADEMICS,11,20,time,exam
gold_0157,journal_157,Woke up and animal time around 2am.,animal time,LEISURE,12,23,time,pet_time
gold_0041,journal_41,Finally vacuumed after putting it off.,vacuumed,DAILY_LIVING,8,16,positive,clean
gold_0367,journal_367,couldn't sleep at all,sleep,SLEEP,9,14,edge_case,insomnia
gold_0324,journal_324,Skipped smoked weed again.,smoked weed,SUBSTANCE,8,19,negation,drugs
gold_0217,journal_217,Spent some time late at work.,late at work,PROFESSIONAL,16,28,neutral,overtime
gold_0280,journal_280,volunteered for 3 hours.,volunteered,SOCIAL,0,11,duration,volunteer
gold_0347,journal_347,couldn't sleep at all,sleep,SLEEP,9,14,edge_case,insomnia
gold_0237,journal_237,resolutions for about an hour.,resolutions,SELF_IMPROVEMENT,0,11,neutral,goal_setting
gold_0208,journal_208,3 hours of didn't do anything productive today.,didn't do anything productive,PRODUCTIVITY,11,40,duration,procrastinate
gold_0213,journal_213,Late night lost focus at 11pm.,lost focus,PRODUCTIVITY,11,21,time,distraction
gold_0296,journal_296,temple visit again. Need to stop this.,temple visit,SPIRITUAL,0,12,negative,church_temple
gold_0365,journal_365,kept procrastinating on assignment,procrastinating,PRODUCTIVITY,5,20,edge_case,procrastinate
gold_0252,journal_252,No training today. Too exhausted.,training,SELF_IMPROVEMENT,3,11,negation,learn_skill
gold_0391,journal_391,called my parents,called my parents,SOCIAL,0,17,edge_case,family_time
gold_0366,journal_366,ate junk food again,ate junk food,NUTRITION,0,13,edge_case,junk_food
gold_0304,journal_304,Avoided prayer time all day.,prayer time,SPIRITUAL,8,19,negation,pray
gold_0270,journal_270,Avoided staring at ceiling all day.,staring at ceiling,SLEEP,8,26,negation,insomnia
gold_0202,journal_202,deep work in the morning. Great start.,deep work,PRODUCTIVITY,0,9,positive,deep_work
gold_0162,journal_162,Wanted to on vacation but couldn't find time.,on vacation,LEISURE,10,21,negation,travel
gold_0044,journal_44,bought stuff all night. Regret it now.,bought stuff,DAILY_LIVING,0,12,negative,shopping
gold_0218,journal_218,passion project like usual.,passion project,PROFESSIONAL,0,15,neutral,side_project
gold_0191,journal_191,coffee break for 3 hours.,coffee break,NUTRITION,0,12,duration,coffee
gold_0310,journal_310,Managed to did drugs even though I was tired.,did drugs,SUBSTANCE,11,20,positive,drugs
gold_0260,journal_260,couldn't sleep again. Need to stop this.,couldn't sleep,SLEEP,0,14,negative,sleep_late
gold_0106,journal_106,No went to gym today. Too exhausted.,went to gym,FITNESS,3,14,negation,exercise
gold_0054,journal_54,Failed to cooking session like I planned.,cooking session,DAILY_LIVING,10,25,negation,cook
gold_0002,journal_2,Spent some time peer learning.,peer learning,ACADEMICS,16,29,neutral,group_study
gold_0050,journal_50,commuting at 6am.,commuting,DAILY_LIVING,0,9,time,commute
gold_0081,journal_81,Can't believe I event for the third time this week.,event,ENTERTAINMENT,16,21,negative,concert_event
gold_0206,journal_206,Another day of multiple things at once. Getting worried.,multiple things at once,PRODUCTIVITY,15,38,negative,multitasking
gold_0035,journal_35,No writing time today. Too exhausted.,writing time,CREATIVE,3,15,negation,write
gold_0264,journal_264,bad sleep for an hour.,bad sleep,SLEEP,0,9,duration,sleep_quality_poor
gold_0092,journal_92,hatha yoga like usual.,hatha yoga,FITNESS,0,10,neutral,yoga
gold_0340,journal_340,Avoided feeling grateful all day.,feeling grateful,WELLNESS,8,24,negation,gratitude
gold_0053,journal_53,Missed my usual cleaning.,cleaning,DAILY_LIVING,16,24,negation,clean
gold_0346,journal_346,ate junk food again,ate junk food,NUTRITION,0,13,edge_case,junk_food
gold_0265,journal_265,Late night missed morning at midnight.,missed morning,SLEEP,11,25,time,oversleep
gold_0242,journal_242,training when I should have been working.,training,SELF_IMPROVEMENT,0,8,negative,learn_skill
gold_0014,journal_14,attended session at 11pm.,attended session,ACADEMICS,0,16,time,attend_lecture
gold_0316,journal_316,Spent 30 minutes marijuana.,marijuana,SUBSTANCE,17,26,duration,drugs
gold_0089,journal_89,Couldn't bring myself to tv marathon.,tv marathon,ENTERTAINMENT,25,36,negation,binge_watch
gold_0274,journal_274,called someone and it felt amazing.,called someone,SOCIAL,0,14,positive,phone_call
gold_0167,journal_167,deadline approaching in the morning. Great start.,deadline approaching,MENTAL_STATE,0,20,positive,deadline_stress
gold_0329,journal_329,reflected in the morning. Great start.,reflected,WELLNESS,0,9,positive,reflect
gold_0394,journal_394,avoided work all day,avoided work,PROFESSIONAL,0,12,edge_case,procrastinate
gold_0135,journal_135,Wasted time reading news. So unproductive.,reading news,INFORMATION,12,24,negative,news
gold_0307,journal_307,Spent some time high.,high,SUBSTANCE,16,20,neutral,drugs
gold_0384,journal_384,slept through my alarm,slept through,SLEEP,0,13,edge_case,sleep_late
gold_0320,journal_320,Woke up and chain smoking around 11pm.,chain smoking,SUBSTANCE,12,25,time,smoking
gold_0244,journal_244,2 hours of learned today.,learned,SELF_IMPROVEMENT,11,18,duration,learn_skill
gold_0055,journal_55,twitter scrolling today.,twitter scrolling,DIGITAL,0,17,neutral,social_media
gold_0051,journal_51,Late night train journey at midnight.,train journey,DAILY_LIVING,11,24,time,commute
gold_0175,journal_175,Woke up and worry around 8am.,worry,MENTAL_STATE,12,17,time,anxiety
gold_0190,journal_190,Spent 2 hours delivery food.,delivery food,NUTRITION,14,27,duration,junk_food
gold_0398,journal_398,gym time,gym,FITNESS,0,3,edge_case,gym
gold_0188,journal_188,instant noodles when I should have been working.,instant noodles,NUTRITION,0,15,negative,junk_food
gold_0170,journal_170,Another day of feeling angry. Getting worried.,feeling angry,MENTAL_STATE,15,28,negative,angry
gold_0059,journal_59,youtube shorts today. Felt really good!,youtube shorts,DIGITAL,0,14,positive,social_media
gold_0049,journal_49,home cooking at 3am.,home cooking,DAILY_LIVING,0,12,time,cook
gold_0345,journal_345,kept procrastinating on assignment,procrastinating,PRODUCTIVITY,5,20,edge_case,procrastinate
gold_0236,journal_236,Did my regular tutorial.,tutorial,SELF_IMPROVEMENT,15,23,neutral,learn_skill
gold_0253,journal_253,midday nap like usual.,midday nap,SLEEP,0,10,neutral,nap
gold_0022,journal_22,Actually content writing like I planned.,content writing,CREATIVE,9,24,positive,write
gold_0314,journal_314,Another day of high. Getting worried.,high,SUBSTANCE,15,19,negative,drugs
gold_0161,journal_161,No outside today. Too exhausted.,outside,LEISURE,3,10,negation,nature
gold_0277,journal_277,Can't believe I hung out for the third time this week.,hung out,SOCIAL,16,24,negative,socialize
gold_0192,journal_192,didn't eat for 2 hours.,didn't eat,NUTRITION,0,10,duration,skip_meal
gold_0294,journal_294,Finally place of worship after putting it off.,place of worship,SPIRITUAL,8,24,positive,church_temple
gold_0344,journal_344,slept through my alarm,slept through,SLEEP,0,13,edge_case,sleep_late
gold_0258,journal_258,Finally restless sleep after putting it off.,restless sleep,SLEEP,8,22,positive,sleep_quality_poor
gold_0309,journal_309,tobacco for about an hour.,tobacco,SUBSTANCE,0,7,neutral,smoking
gold_0150,journal_150,music session today. Felt really good!,music session,LEISURE,0,13,positive,listen_music
gold_0131,journal_131,news and it felt amazing.,news,INFORMATION,0,4,positive,news
gold_0152,journal_152,Wasted time trip. So unproductive.,trip,LEISURE,12,16,negative,travel
gold_0360,journal_360,sleep schedule,sleep,SLEEP,0,5,edge_case,sleep
gold_0100,journal_100,riding bike for 45 minutes.,riding bike,FITNESS,0,11,duration,cycling
gold_0373,journal_373,skipped breakfast again,skipped breakfast,NUTRITION,0,17,edge_case,skip_meal
gold_0088,journal_88,Didn't ps5 today. Feel bad about it.,ps5,ENTERTAINMENT,7,10,negation,gaming
gold_0331,journal_331,mental health appointment all night. Regret it now.,mental health appointment,WELLNESS,0,25,negative,therapy
gold_0215,journal_215,Avoided can't focus all day.,can't focus,PRODUCTIVITY,8,19,negation,distraction
gold_0122,journal_122,Woke up and played instrument around 6am.,played instrument,HOBBIES,12,29,time,music_practice
gold_0400,journal_400,sleep schedule,sleep,SLEEP,0,5,edge_case,sleep
gold_0021,journal_21,creative writing today.,creative writing,CREATIVE,0,16,neutral,write
gold_0189,journal_189,homemade food when I should have been working.,homemade food,NUTRITION,0,13,negative,healthy_eating
gold_0072,journal_72,Failed to dm like I planned.,dm,DIGITAL,10,12,negation,text_messaging
gold_0107,journal_107,Didn't cycled today. Feel bad about it.,cycled,FITNESS,7,13,negation,cycling
gold_0271,journal_271,Did my regular called someone.,called someone,SOCIAL,15,29,neutral,phone_call
gold_0349,journal_349,did yoga practice,yoga practice,FITNESS,4,17,edge_case,yoga
gold_0103,journal_103,Woke up and yoga practice around 11pm.,yoga practice,FITNESS,12,25,time,yoga
