span_id,journal_id,text,span,gold_label
gold_0373,journal_373,skipped breakfast again,skipped breakfast,NUTRITION
gold_0088,journal_88,Didn't ps5 today. Feel bad about it.,ps5,ENTERTAINMENT
gold_0331,journal_331,mental health appointment all night. Regret it now.,mental health appointment,WELLNESS
gold_0215,journal_215,Avoided can't focus all day.,can't focus,PRODUCTIVITY
gold_0122,journal_122,Woke up and played instrument around 6am.,played instrument,HOBBIES
gold_0400,journal_400,sleep schedule,sleep,SLEEP
gold_0021,journal_21,creative writing today.,creative writing,CREATIVE
gold_0189,journal_189,homemade food when I should have been working.,homemade food,NUTRITION
gold_0072,journal_72,Failed to dm like I planned.,dm,DIGITAL
gold_0107,journal_107,Didn't cycled today. Feel bad about it.,cycled,FITNESS
gold_0271,journal_271,Did my regular called someone.,called someone,SOCIAL
gold_0349,journal_349,did yoga practice,yoga practice,FITNESS
gold_0103,journal_103,Woke up and yoga practice around 11pm.,yoga practice,FITNESS
